|W| [unimplemented_impl]: Unimplemented sceAppMgrIsNonGameProgram import called.
[05:09:33.493] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.493] |E| [stat_file]: Cannot find device for path: app0/SonyNP.exe
[05:09:33.494] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.494] |E| [stat_file]: Cannot find device for path: app0/SonyNP/SonyNP.dll
[05:09:33.495] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.496] |E| [stat_file]: Cannot find device for path: app0/SonyNP/SonyNP.exe
[05:09:33.496] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.497] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyNP.dll
[05:09:33.497] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.498] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyNP.exe
[05:09:33.498] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.499] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyNP/SonyNP.dll
[05:09:33.500] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.500] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyNP/SonyNP.exe
[05:09:33.501] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.501] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyNP.dll
[05:09:33.503] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyNP.dll.config
[05:09:33.504] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyNP.dll.config (target path: app0:Media/Managed/SonyNP.dll.config)
[05:09:33.509] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.510] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyNP/SonyNP.config
[05:09:33.510] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyNP/SonyNP.config (target path: app0:Media/Managed/mono/assemblies/SonyNP/SonyNP.config)
[05:09:33.512] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.512] |E| [stat_file]: Cannot find device for path: app0/SonyVitaSavedGames.dll
[05:09:33.513] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.513] |E| [stat_file]: Cannot find device for path: app0/SonyVitaSavedGames.exe
[05:09:33.514] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.515] |E| [stat_file]: Cannot find device for path: app0/SonyVitaSavedGames/SonyVitaSavedGames.dll
[05:09:33.515] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.516] |E| [stat_file]: Cannot find device for path: app0/SonyVitaSavedGames/SonyVitaSavedGames.exe
[05:09:33.517] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.517] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaSavedGames.dll
[05:09:33.518] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.518] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaSavedGames.exe
[05:09:33.519] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.520] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaSavedGames/SonyVitaSavedGames.dll
[05:09:33.523] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.524] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaSavedGames/SonyVitaSavedGames.exe
[05:09:33.525] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.526] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyVitaSavedGames.dll
[05:09:33.530] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyVitaSavedGames.dll.config
[05:09:33.530] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyVitaSavedGames.dll.config (target path: app0:Media/Managed/SonyVitaSavedGames.dll.config)
[05:09:33.531] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.532] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyVitaSavedGames/SonyVitaSavedGames.config
[05:09:33.533] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyVitaSavedGames/SonyVitaSavedGames.config (target path: app0:Media/Managed/mono/assemblies/SonyVitaSavedGames/SonyVitaSavedGames.config)
[05:09:33.534] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.535] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/Assembly-CSharp.dll.config
[05:09:33.536] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/Assembly-CSharp.dll.config (target path: app0:/Media/Managed/Assembly-CSharp.dll.config)
[05:09:33.540] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.541] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/Assembly-CSharp/Assembly-CSharp.config
[05:09:33.542] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/Assembly-CSharp/Assembly-CSharp.config (target path: app0:Media/Managed/mono/assemblies/Assembly-CSharp/Assembly-CSharp.config)
[05:09:33.543] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.544] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/Assembly-UnityScript-firstpass.dll
[05:09:33.550] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.Boo.Lang/0.0.0.0__32c39770e9a21a67/policy.2.0.Boo.Lang.dll
[05:09:33.550] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.Boo.Lang/0.0.0.0__32c39770e9a21a67/policy.2.0.Boo.Lang.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.Boo.Lang/0.0.0.0__32c39770e9a21a67/policy.2.0.Boo.Lang.dll)
[05:09:33.551] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.552] |E| [stat_file]: Cannot find device for path: app0/Boo.Lang.dll
[05:09:33.555] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.556] |E| [stat_file]: Cannot find device for path: app0/Boo.Lang.exe
[05:09:33.556] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.557] |E| [stat_file]: Cannot find device for path: app0/Boo.Lang/Boo.Lang.dll
[05:09:33.558] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.558] |E| [stat_file]: Cannot find device for path: app0/Boo.Lang/Boo.Lang.exe
[05:09:33.559] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.560] |E| [stat_file]: Cannot find device for path: Media/Managed/Boo.Lang.dll
[05:09:33.560] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.561] |E| [stat_file]: Cannot find device for path: Media/Managed/Boo.Lang.exe
[05:09:33.561] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.562] |E| [stat_file]: Cannot find device for path: Media/Managed/Boo.Lang/Boo.Lang.dll
[05:09:33.563] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.563] |E| [stat_file]: Cannot find device for path: Media/Managed/Boo.Lang/Boo.Lang.exe
[05:09:33.564] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.565] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/Boo.Lang/2.0.9.5__32c39770e9a21a67/Boo.Lang.dll
[05:09:33.565] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/Boo.Lang/2.0.9.5__32c39770e9a21a67/Boo.Lang.dll (target path: app0:Media/Managed/mono/gac/Boo.Lang/2.0.9.5__32c39770e9a21a67/Boo.Lang.dll)
[05:09:33.567] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.567] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/Boo.Lang.dll
[05:09:33.574] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/Boo.Lang.dll.config
[05:09:33.574] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/Boo.Lang.dll.config (target path: app0:Media/Managed/Boo.Lang.dll.config)
[05:09:33.575] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.575] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/Boo.Lang/Boo.Lang.config
[05:09:33.576] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/Boo.Lang/Boo.Lang.config (target path: app0:Media/Managed/mono/assemblies/Boo.Lang/Boo.Lang.config)
[05:09:33.577] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.578] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/Assembly-UnityScript-firstpass.dll.config
[05:09:33.579] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/Assembly-UnityScript-firstpass.dll.config (target path: app0:/Media/Managed/Assembly-UnityScript-firstpass.dll.config)
[05:09:33.579] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.580] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/Assembly-UnityScript-firstpass/Assembly-UnityScript-firstpass.config
[05:09:33.581] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/Assembly-UnityScript-firstpass/Assembly-UnityScript-firstpass.config (target path: app0:Media/Managed/mono/assemblies/Assembly-UnityScript-firstpass/Assembly-UnityScript-firstpass.config)
[05:09:33.583] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.587] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/HOTweenMicro.dll
[05:09:33.588] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/HOTweenMicro.dll.config
[05:09:33.588] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/HOTweenMicro.dll.config (target path: app0:Media/Managed/HOTweenMicro.dll.config)
[05:09:33.589] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.590] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/HOTweenMicro/HOTweenMicro.config
[05:09:33.591] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/HOTweenMicro/HOTweenMicro.config (target path: app0:Media/Managed/mono/assemblies/HOTweenMicro/HOTweenMicro.config)
[05:09:33.592] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.595] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/SonyNP.dll
[05:09:33.595] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyNP.dll.config
[05:09:33.596] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyNP.dll.config (target path: app0:Media/Managed/SonyNP.dll.config)
[05:09:33.598] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.598] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyNP/SonyNP.config
[05:09:33.599] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyNP/SonyNP.config (target path: app0:Media/Managed/mono/assemblies/SonyNP/SonyNP.config)
[05:09:33.602] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.603] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/SonyVitaCommonDialog.dll
[05:09:33.604] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyVitaCommonDialog.dll.config
[05:09:33.604] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyVitaCommonDialog.dll.config (target path: app0:Media/Managed/SonyVitaCommonDialog.dll.config)
[05:09:33.605] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.606] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyVitaCommonDialog/SonyVitaCommonDialog.config
[05:09:33.607] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyVitaCommonDialog/SonyVitaCommonDialog.config (target path: app0:Media/Managed/mono/assemblies/SonyVitaCommonDialog/SonyVitaCommonDialog.config)
[05:09:33.608] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.609] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/SonyVitaSavedGames.dll
[05:09:33.610] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyVitaSavedGames.dll.config
[05:09:33.610] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyVitaSavedGames.dll.config (target path: app0:Media/Managed/SonyVitaSavedGames.dll.config)
[05:09:33.611] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.612] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyVitaSavedGames/SonyVitaSavedGames.config
[05:09:33.613] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyVitaSavedGames/SonyVitaSavedGames.config (target path: app0:Media/Managed/mono/assemblies/SonyVitaSavedGames/SonyVitaSavedGames.config)
[05:09:33.614] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.618] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/SonyVitaSystemSettings.dll
[05:09:33.624] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/SonyVitaSystemSettings.dll.config
[05:09:33.624] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyVitaSystemSettings.dll.config (target path: app0:/Media/Managed/SonyVitaSystemSettings.dll.config)
[05:09:33.625] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.626] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyVitaSystemSettings/SonyVitaSystemSettings.config
[05:09:33.627] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyVitaSystemSettings/SonyVitaSystemSettings.config (target path: app0:Media/Managed/mono/assemblies/SonyVitaSystemSettings/SonyVitaSystemSettings.config)
[05:09:33.628] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.824] |E| [logging::ret_error_impl]: sceKernelTryLockLwMutex returned SCE_KERNEL_ERROR_LW_MUTEX_FAILED_TO_OWN (0x80028185)
[05:09:33.838] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets0.assets.resG (target path: app0:/Media/sharedassets0.assets.resG)
[05:09:33.839] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.842] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets0.assets.res (target path: app0:/Media/sharedassets0.assets.res)
[05:09:33.843] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.844] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets0.assets.resS (target path: app0:/Media/sharedassets0.assets.resS)
[05:09:33.844] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.987] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__7cec85d7bea7798e/policy.2.0.mscorlib.dll
[05:09:33.988] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__7cec85d7bea7798e/policy.2.0.mscorlib.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__7cec85d7bea7798e/policy.2.0.mscorlib.dll)
[05:09:33.989] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.992] |E| [stat_file]: Cannot find device for path: app0/mscorlib.dll
[05:09:33.992] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.993] |E| [stat_file]: Cannot find device for path: app0/mscorlib.exe
[05:09:33.993] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.994] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.dll
[05:09:33.994] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.995] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.exe
[05:09:33.995] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.996] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.dll
[05:09:33.996] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.997] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.exe
[05:09:33.997] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.998] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.dll
[05:09:33.998] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.999] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.exe
[05:09:33.999] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.011] |E| [stat_file]: Cannot find device for path: app0/mscorlib.dll
[05:09:34.011] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.012] |E| [stat_file]: Cannot find device for path: app0/mscorlib.exe
[05:09:34.012] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.013] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.dll
[05:09:34.014] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.014] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.exe
[05:09:34.015] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.015] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.dll
[05:09:34.016] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.017] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.exe
[05:09:34.017] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.018] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.dll
[05:09:34.018] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.019] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.exe
[05:09:34.019] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.166] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System.Xml/0.0.0.0__7cec85d7bea7798e/policy.2.0.System.Xml.dll
[05:09:34.167] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System.Xml/0.0.0.0__7cec85d7bea7798e/policy.2.0.System.Xml.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System.Xml/0.0.0.0__7cec85d7bea7798e/policy.2.0.System.Xml.dll)
[05:09:34.168] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:34.168] |E| [stat_file]: Cannot find device for path: app0/System.Xml.dll
[05:09:34.169] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.169] |E| [stat_file]: Cannot find device for path: app0/System.Xml.exe
[05:09:34.170] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.170] |E| [stat_file]: Cannot find device for path: app0/System.Xml/System.Xml.dll
[05:09:34.171] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.172] |E| [stat_file]: Cannot find device for path: app0/System.Xml/System.Xml.exe
[05:09:34.172] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.173] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml.dll
[05:09:34.173] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.174] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml.exe
[05:09:34.175] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.175] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml/System.Xml.dll
[05:09:34.176] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.176] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml/System.Xml.exe
[05:09:34.177] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.179] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System.Xml/2.0.0.0__7cec85d7bea7798e/System.Xml.dll
[05:09:34.179] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System.Xml/2.0.0.0__7cec85d7bea7798e/System.Xml.dll (target path: app0:Media/Managed/mono/gac/System.Xml/2.0.0.0__7cec85d7bea7798e/System.Xml.dll)
[05:09:34.180] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:34.181] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/System.Xml.dll
[05:09:34.217] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Xml.dll.config
[05:09:34.217] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.Xml.dll.config (target path: app0:Media/Managed/System.Xml.dll.config)
[05:09:34.218] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:34.219] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System.Xml/System.Xml.config
[05:09:34.220] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System.Xml/System.Xml.config (target path: app0:Media/Managed/mono/assemblies/System.Xml/System.Xml.config)
[05:09:34.221] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:34.231] |E| [stat_file]: Cannot find device for path: app0/mscorlib.dll
[05:09:34.231] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.232] |E| [stat_file]: Cannot find device for path: app0/mscorlib.exe
[05:09:34.232] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.233] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.dll
[05:09:34.233] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.234] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.exe
[05:09:34.235] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.235] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.dll
[05:09:34.236] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.236] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.exe
[05:09:34.237] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.237] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.dll
[05:09:34.238] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.239] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.exe
[05:09:34.240] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.938] |E| [stat_file]: Cannot find device for path: app0/mscorlib.dll
[05:09:34.939] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.939] |E| [stat_file]: Cannot find device for path: app0/mscorlib.exe
[05:09:34.940] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.941] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.dll
[05:09:34.941] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.942] |E| [stat_file]: Cannot find device for path: app0/mscorlib/mscorlib.exe
[05:09:34.943] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.943] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.dll
[05:09:34.944] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.944] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib.exe
[05:09:34.945] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.946] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.dll
[05:09:34.947] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:34.948] |E| [stat_file]: Cannot find device for path: Media/Managed/mscorlib/mscorlib.exe
[05:09:34.949] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:35.089] |I| [load_self]: app0:/Media/Plugins/CommonDialog.suprx: Skipping special segment 0x6FFFFF01...
[05:09:35.089] |I| [load_self]: Loaded module segment 0 @ [0x027C8000 - 0x027CB01C / 0x81000000] (size: 0x0000301C) of module app0:/Media/Plugins/CommonDialog.suprx
[05:09:35.090] |I| [load_self]: Loaded module segment 1 @ [0x027CC000 - 0x027CD1DC / 0x81004000] (size: 0x000011DC) of module app0:/Media/Plugins/CommonDialog.suprx
[05:09:35.091] |I| [load_self]: Linking SELF app0:/Media/Plugins/CommonDialog.suprx...
[05:09:35.092] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x27C9E90
[05:09:35.094] |I| [start_module]: Module CommonDialog (at "app0:/Media/Plugins/CommonDialog.suprx") module_start returned 0x0
[05:09:35.099] |I| [load_self]: app0:/Media/Plugins/CommonDialog.suprx.b.suprx: Skipping special segment 0x6FFFFF01...
[05:09:35.099] |I| [load_self]: Loaded module segment 0 @ [0x027CE000 - 0x027CE888 / 0x81000000] (size: 0x00000888) of module app0:/Media/Plugins/CommonDialog.suprx.b.suprx
